1         ABRIL                                             
2         ATLAS                                             
3         ATUAL                                             
4         ALEPH                                             
5         BOOKMAN                                           
6         ERICA                                             
7         GLOBO                                             
8         HARBRA                                            
9         LIVROS TECNICOS E CIENTIFICOS                     
10        CAMPUS                                            
11        MAKRON BOOKS                                      
12        MCGRAW HILL                                       
13        GUANABARA KOOGAN                                  
14        PHB                                               
15        BRASPORT                                          
16        IBPI PRESS                                        
17        VISUAL BOOKS                                      
18        WILEY                                             
19        SARAIVA                                           
20        MODERNA                                           
21        ATICA                                             
22        FTD                                               
