1         ADMINISTRAÄ«O                 
2         ARQUITETURA                   
3         ARTES                         
4         CI“NCIAS COGNITIVAS           
5         CI“NCIAS CONTµBEIS            
6         CI“NCIAS BIOL‡GICAS           
7         CI“NCIAS DA TERRA             
8         CI“NCIAS EXATAS               
9         CI“NCIAS SOCIAIS              
10        COMUNICAÄ«O                   
11        CULINµRIA                     
12        DICIONµRIOS                   
13        DIREITO                       
14        ECONOMIA                      
15        EDUCAÄ«O F÷SICA               
16        ENGENHARIA                    
17        L÷NGUAS ESTRANGEIRAS          
18        ESOTERISMO                    
19        FILOSOFIA                     
20        GEOGRAFIA                     
21        HIST‡RIA                      
22        INFORMµTICA                   
23        LINGU÷STICA                   
24        LITERATURA BRASILEIRA         
25        LITERATURA ESTRANGEIRA        
26        MEDICINA E SAÈDE              
27        MODA                          
28        PEDAGOGIA                     
29        PSICOLOGIA                    
30        RELIGIÂES                     
31        TURISMO                       
