1         IDOETA CAPUANO                
2         JIM GREGORY                   
3         ROBERTO C. F. COSTA           
4         HYGINO H. DOMINGUES           
5         CARLOS A. CALLIOLI            
6         MARCO CANTU                   
7         FRANK ENGO                    
8         SOELI T.FIORINI               
9         ARNDT VON STAA                
10        RENAN MARTINS BAPTISTA        
11        LOWELL JAY ARTHUR             
12        GELSON IEZZI                  
13        CARLOS MURAKAMI               
14        OSVALDO DOLCE                 
15        NILSON JOSE MACHADO           
16        RICK SPENCE                   
17        MARTIN FOWLER                 
18        KENDALL SCOTT                 
19        ROBERT W. SEBESTA             
20        H. M. DEITEL                  
21        P. J. DEITEL                  
22        RALPH M. STAIR                
23        JOSE DAVI FURLAN              
24        FABIO CAMARA                  
25        HUGO NOVAES                   
26        HARRY FARRER                  
27        CHRISTIANO GONCALVES BECKER   
28        EDUARDO CHAVES FARIA          
29        FREDERICO FERREIRA CAMPOS     
30        HELTON FABIO DE MATOS         
31        MARCOS AUGUSTO DOS SANTOS     
32        MIRIAM LOURENCO MAIA          
33        FRANCISCO DE ASSIS SILVA      
34        PEDRO IVO DE ASSIS BASTOS     
35        MARCOS DE AMORIM COELHO       
36        REINALDO SCALZARETTO          
